Nr;Kategorie;Schwierigkeit;Frage;Antwort A;Antwort B;Antwort C;Antwort D;Korrekte Antwort(en);Erklärung
1;Grundlogik & Rollen;basis;Was ist MMOS im Geschäftsmodell von Mecklenburg Marketing?;Ein internes Betriebssystem für Akquise, Kundenbetreuung, Reports und Prozesse;Ein öffentlich verkaufter SaaS-Zugang für jeden Kunden;Ein reines Kassensystem;Ein Steuerprogramm;A;MMOS ist intern. Kunden bekommen nur freigegebene Kundenportal-Funktionen und Ergebnisse.
2;Grundlogik & Rollen;basis;Was darf ein Kunde im Kundenportal grundsätzlich sehen?;Eigene Reports, Rechnungen, Tickets, freigegebene Tools und Ergebnisse;Alle Admin-Generatoren;Alle Kundendaten anderer Kunden;Backend-Logs und API-Keys;A;Das Portal ist eine begrenzte Kundensicht, keine Admin-Oberfläche.
3;Grundlogik & Rollen;basis;Welche Bereiche sind admin-only?;Mini Audit Generator;Lead Engine;Angebots-/Vertragsgenerator;Kundenreport ansehen;A, B, C;Interne Akquise-, Sales- und Generator-Werkzeuge bleiben im Adminbereich.
4;Grundlogik & Rollen;fortgeschritten;Wofür ist Tool-Freigaben Pro da?;Pro Kunde/Paket festlegen, welche Funktionen sichtbar und nutzbar sind;Kunden Adminrechte geben;Google API-Kosten abschalten;Datenschutztexte löschen;A;Tool-Freigaben sichern Paketlogik und Zugriffstrennung.
5;Grundlogik & Rollen;fortgeschritten;Was bedeutet Tenant-Isolation?;"Jeder Kunde sieht nur eigene Daten; Admin darf intern übergreifend arbeiten";Alle Kunden teilen sich eine offene Datenansicht;Nur Leads werden getrennt;Nur PDFs werden getrennt;A;Tenant-Isolation schützt Kundendaten vor Fremdzugriff.
6;CRM, Pipeline & Kunden;basis;Wofür ist das CRM im MMOS gedacht?;Kunden, Leads, Kontakte, Status, Pipeline und Historie zentral verwalten;Nur Social-Media-Posts planen;Nur Rechnungen drucken;Google Maps ersetzen;A;CRM ist die zentrale Kunden- und Lead-Datenbasis.
7;CRM, Pipeline & Kunden;basis;Warum sind Statusfelder im CRM wichtig?;Damit klar ist, ob ein Kontakt Lead, Angebot, Kunde, gefährdet oder abgeschlossen ist;Damit Logos automatisch größer werden;Damit Google-Bewertungen gelöscht werden;Damit Cookies akzeptiert werden;A;Statusfelder machen Pipeline und nächste Schritte sichtbar.
8;CRM, Pipeline & Kunden;basis;Was zeigt eine Pipeline-Ansicht?;In welcher Vertriebsphase Leads/Kunden stehen;Nur Wetterdaten;Nur Sentry-Fehler;Nur Domainkosten;A;Pipeline hilft, Akquise und Follow-ups strukturiert zu steuern.
9;CRM, Pipeline & Kunden;basis;Warum sind Profilbilder/Logos im Kundenprofil sinnvoll?;Für Wiedererkennung in CRM, Reports und Kundenübersichten;Für bessere Google-Rankings garantiert;Für weniger Datenschutzpflichten;Für automatische Rechnungszahlung;A;Visuelle Zuordnung macht Arbeit im Adminbereich schneller und professioneller.
10;CRM, Pipeline & Kunden;basis;Warum sollte bei Leads die Quelle erfasst werden?;Um zu sehen, ob Google, Empfehlung, Website, Facebook oder Kaltakquise funktioniert;Um Passwörter zu speichern;Um Backups zu löschen;Um Kundenportale öffentlich zu machen;A;Leadquellen zeigen, welche Akquise-Kanäle funktionieren.
11;CRM, Pipeline & Kunden;fortgeschritten;Wofür ist Customer Health gedacht?;Risiko, Zufriedenheit, Upsell-Potenzial und Betreuungsbedarf erkennen;Alle Kunden automatisch kündigen;Google API-Key generieren;Nur Farben ändern;A;Customer Health priorisiert Betreuung und verhindert Kündigungen.
12;CRM, Pipeline & Kunden;fortgeschritten;Was leistet Customer Intelligence?;Kundendaten verdichten: Risiko, Chancen, Upsell, Monatsreport-Ideen;Steuerbescheide erstellen;Browser-Tracking ohne Consent;Passwörter anzeigen;A;Customer Intelligence unterstützt strategische Kundenbetreuung.
13;CRM, Pipeline & Kunden;basis;Wofür sind Tickets/Support im Kundenportal gedacht?;Kundenanliegen strukturiert aufnehmen und nachvollziehbar bearbeiten;Adminrechte verteilen;Google Bewertungen kaufen;Datenbanktabellen löschen;A;Tickets verhindern unübersichtliche Kommunikation über viele Kanäle.
14;Vertrieb & Angebote;basis;Wofür ist der Mini Audit Generator gedacht?;Interner Akquise-Einstieg auf Basis öffentlich sichtbarer Google-Daten;Kunden sollen fremde Daten exportieren;Vollständiger Jahresabschluss;Newsletter-Versand;A;Mini Audit = schneller Gesprächsanlass für lokale Sichtbarkeit.
15;Vertrieb & Angebote;basis;Welche Datenbasis nutzt der Mini Audit primär?;Google Places / Google Business Daten;Interne Loyalty-Umsätze;Kundenbankdaten;Browser-Cookies;A;Mini Audit bleibt Google-only und ohne MMOS-Kundendaten.
16;Vertrieb & Angebote;basis;Wofür ist die Lead Engine gedacht?;Lokale potenzielle Kunden finden, bewerten und für Akquise vorbereiten;Kundenrechnungen bezahlen;PDFs signieren;MFA deaktivieren;A;Lead Engine ist internes Akquise-Werkzeug.
17;Vertrieb & Angebote;basis;Wofür ist der Angebotsgenerator gedacht?;Konsistente Angebote passend zu Paket, Bedarf und Kundennutzen erstellen;Datenschutz ersetzen;Kundenpasswörter verwalten;Kassenbons buchen;A;Der Generator standardisiert Angebote und spart Zeit.
18;Vertrieb & Angebote;basis;Wofür ist der Vertragsgenerator gedacht?;Leistungsumfang, Pflichten, Laufzeit und rechtliche Bausteine sauber vorbereiten;Google Ranking garantieren;Kundendaten öffentlich machen;Backups löschen;A;Verträge müssen zu Paket und Leistung passen.
19;Vertrieb & Angebote;vertrieb;Was verkaufst du im Kundengespräch primär?;Sichtbarkeit, Vertrauen, Bewertungen, Anfragen und Kundenbindung;Den Quellcode von MMOS;Adminzugang;Sentry-Projektzugang;A;Verkauft wird Ergebnis/Nutzen, nicht das interne System.
20;Vertrieb & Angebote;vertrieb;Kunde sagt: „Zu teuer.“ Was ist die beste Reaktion?;Nachfragen, woran er Preis misst, und Nutzen auf Anfragen/Umsatz zurückführen;Sofort halbieren;Gespräch abbrechen;Mit Ranking-Garantie locken;A;Preiswiderstand wird über Bedarf und Nutzen eingeordnet.
21;Vertrieb & Angebote;vertrieb;Wie positionierst du einen frühen Pilotkunden ehrlich?;Betreuter Start mit laufender Optimierung;Fertiges Massen-SaaS ohne Betreuung;Test ohne Vertrag/Datenschutz;Kostenloser Adminzugang;A;Pilot = kontrollierter, betreuter Start.
22;Vertrieb & Angebote;vertrieb;Welche Aussage solltest du vermeiden?;Wir garantieren Platz 1 bei Google;Wir verbessern systematisch Ihre lokale Sichtbarkeit;Wir machen Fortschritte messbar;Wir priorisieren Hebel;A;Ranking-Garantien sind unseriös.
23;Vertrieb & Angebote;vertrieb;Welche Frage ist im Erstgespräch stark?;Wie gewinnen Sie aktuell neue Kunden und wo verlieren Sie Anfragen?;Wie lautet Ihr Datenbankpasswort?;Kennen Sie React?;Wollen Sie sofort alles kaufen?;A;Discovery öffnet Bedarf und konkrete Verkaufsargumente.
24;Vertrieb & Angebote;vertrieb;Wie erklärst du Starter, Growth, Premium sinnvoll?;Starter = Fundament, Growth = laufende Optimierung, Premium = intensive Betreuung/Automatisierung;Alle identisch;Starter ist schlecht;Premium ist zufällig;A;Pakete unterscheiden sich nach Intensität, Umfang und Betreuung.
25;Google, SEO & Sichtbarkeit;basis;Was ist Ziel der Google Business Optimierung?;Profil vollständiger, vertrauenswürdiger und auffindbarer machen;Google manipulieren;Negative Bewertungen löschen;Website ersetzen;A;Fokus: Auffindbarkeit, Vertrauen, Entscheidungshilfe.
26;Google, SEO & Sichtbarkeit;basis;Wofür ist SEO & Sichtbarkeit gedacht?;Positionen, lokale Auffindbarkeit, Keywords und Wettbewerbsumfeld beobachten;Nur Rechnungen erstellen;Nur MFA aktivieren;Nur Chatbots bauen;A;SEO-Dashboard zeigt Sichtbarkeit und Hebel.
27;Google, SEO & Sichtbarkeit;basis;Was macht das Google Business Tool im Kern?;GBP-Daten, Optimierungen, Audit-Hinweise und Sichtbarkeitsmaßnahmen bündeln;Kundenportale löschen;Kassenumsätze buchen;Backups verschlüsseln;A;Google Business ist Kernangebot für lokale Betriebe.
28;Google, SEO & Sichtbarkeit;fortgeschritten;Warum sind Keywords im Kundenprofil wichtig?;Damit Auswertungen und Maßnahmen zur tatsächlichen Suche passen;Damit Rechnungen schneller bezahlt werden;Damit Cookies verschwinden;Damit der Admin eingeloggt bleibt;A;Keywords verbinden Angebot, Sichtbarkeit und Reporting.
29;Google, SEO & Sichtbarkeit;fortgeschritten;Warum braucht der Mini Audit Google Places API?;Für Unternehmens-/Ortsdaten, Bewertungen, Place Details und Fotos;Für Stripe-Zahlungen;Für Sentry-Events;Für PDF-Schriftarten;A;Places liefert lokale Geschäftsdaten.
30;Reviews & Reputation;basis;Was ist Grundidee des Review-Systems?;1–3 Sterne intern auffangen, 4–5 Sterne zur öffentlichen Google-Bewertung motivieren;Fake-Bewertungen erzeugen;Alle Bewertungen löschen;Nur 5 Sterne speichern;A;Negatives Feedback intern lösen, positives Vertrauen öffentlich stärken.
31;Reviews & Reputation;basis;Wofür ist das Reputation Center?;Bewertungen, Feedback und Vertrauensaufbau zentral überwachen;Angebote signieren;API-Keys verwalten;Buchhaltung exportieren;A;Reputation ist für lokale Kaufentscheidungen zentral.
32;Reviews & Reputation;fortgeschritten;Was leistet Review Intelligence?;Stimmungen, Muster, Antwortideen und Verbesserungsfelder aus Bewertungen ableiten;MFA einrichten;Backups starten;Kassenbons auslesen;A;Bewertungen werden nicht nur gesammelt, sondern ausgewertet.
33;Reviews & Reputation;basis;Wofür ist das Bewertungs-Widget?;Bewertungen/Feedback sichtbar und nutzbar in Seiten/Flows einbinden;Google API-Kosten löschen;CRM ersetzen;Verträge generieren;A;Das Widget macht Reputation nutzbar.
34;Automation & Workflows;basis;Wofür sind Workflows gedacht?;Wiederkehrende Abläufe automatisieren, z.B. Follow-ups, Reports, Erinnerungen;Adminrechte abschalten;Zahlungen garantieren;Logos entfernen;A;Automation spart Zeit und reduziert Vergessen.
35;Automation & Workflows;basis;Was sind Automation Playbooks?;Vordefinierte Automationsvorlagen für typische Prozesse;Kundendatenexporte für alle;Steuererklärungen;Sentry-Dashboards;A;Playbooks machen Automatisierung wiederholbar.
36;Automation & Workflows;fortgeschritten;Was ist eine Trigger-Action-Logik?;Wenn Ereignis X passiert, wird Aktion Y ausgelöst;Ein Kunde bekommt automatisch Adminrechte;Alle Leads werden gelöscht;Nur Designfarben wechseln;A;Trigger und Actions bilden Automationsketten.
37;Automation & Workflows;fortgeschritten;Wofür ist AI Automation Core gedacht?;KI-gestützte Prozesse und Cross-Modul-Regeln zentral steuern;Nur Bierpreise kalkulieren;Google Maps ersetzen;Passwörter speichern;A;KI-Workflows sollen systematisch und kontrollierbar werden.
38;Content, Social & Mail;basis;Wofür sind AI Social-Posts?;Beiträge für Instagram, Facebook, Google, LinkedIn vorbereiten;PDFs speichern;MFA einrichten;DSGVO löschen;A;Social-Posts unterstützen lokale Sichtbarkeit und Content-Regelmäßigkeit.
39;Content, Social & Mail;basis;Wofür ist Newsletter gedacht?;Kundenkommunikation, Aktionen und Wiederbesuche fördern;Tenant-Isolation testen;API-Keys anzeigen;Backups löschen;A;Newsletter ist Kommunikations- und Bindungskanal.
40;Content, Social & Mail;basis;Wofür ist der AI Mail-Assistant?;E-Mails/Vorlagen für Kundenkommunikation und CRM vorbereiten;Google Bewertungen kaufen;Sentry entfernen;Buchhaltung ersetzen;A;Mail-Assistent spart Zeit und verbessert Follow-ups.
41;Content, Social & Mail;fortgeschritten;Warum sind Mail-Vorlagen wichtig?;Damit Akquise, Onboarding und Follow-ups konsistent bleiben;Damit alle Mails ohne Prüfung rausgehen;Damit Kunden Admin werden;Damit Rechnungen verschwinden;A;Vorlagen sorgen für einheitliche, schnelle Kommunikation.
42;QR, Loyalty & Booking;basis;Wofür sind QR-Kampagnen gedacht?;Einfache Interaktion vor Ort, Feedback, Aktionen und Kundenbindung;Datenbankmigrationen;MFA deaktivieren;Rechnungen exportieren;A;QR ist Brücke zwischen Ladenfläche und digitalem Prozess.
43;QR, Loyalty & Booking;basis;Wofür ist Loyalty Growth?;Wiederbesuche und Kundenbindung systematisch stärken;Backups verschieben;API-Keys rotieren;Verträge löschen;A;Loyalty steigert Wiederkehr und Bindung.
44;QR, Loyalty & Booking;basis;Wofür ist Loyalty-Scan an der Kasse?;Kunden-QR scannen und Punkte/Boni buchen;Google API abrechnen;Admin-Logs exportieren;PDFs rendern;A;Kassennahe Loyalty-Funktion für reale Nutzung vor Ort.
45;QR, Loyalty & Booking;basis;Wofür ist Online-Terminbuchung?;Leistungen, Zeiten und Buchungen für Kundenbetriebe digital abbilden;Backups löschen;Google Rankings garantieren;Sentry konfigurieren;A;Booking reduziert Reibung und macht Termine messbar.
46;QR, Loyalty & Booking;fortgeschritten;Wofür ist No-Show-Risiko gedacht?;Risiko nicht wahrgenommener Termine erkennen und vorbeugen;Negative Google-Bewertungen löschen;Steuern berechnen;API-Keys erstellen;A;No-Show-Logik schützt Umsatz und Planung.
47;QR, Loyalty & Booking;basis;Wofür ist der Slug-Hub?;Kunden- oder Kampagnen-Slugs für öffentliche Seiten/QR-Flows verwalten;Passwörter anzeigen;Backups starten;MFA resetten;A;Slugs verbinden QR/öffentliche Flows mit dem passenden Kunden.
48;Reports, Media & Dokumente;basis;Wofür ist Media & Reports?;Dokumente, PDFs, Medien und Kundenreports geordnet speichern/anzeigen;Adminrollen vergeben;Rechnungen bezahlen;Google Bewertungen sammeln;A;Reports und Medien brauchen saubere Ablage und Freigabe.
49;Reports, Media & Dokumente;fortgeschritten;Was leistet die Document Engine v2?;Template, Daten, PDF-Rendering, Speicherung, Metadaten und Freigabe verbinden;Alle Kunden öffentlich listen;Google-Kosten abschalten;CRM löschen;A;Zentrale Dokumentenpipeline für Reports, Angebote, Audits.
50;Reports, Media & Dokumente;basis;Welchen Zweck haben Monatsreports?;Fortschritte, Maßnahmen und Ergebnisse sichtbar machen;Rechnungen ersetzen;Kundenzugänge löschen;Adminlogs veröffentlichen;A;Reports schaffen Vertrauen und halten Wert sichtbar.
51;Reports, Media & Dokumente;basis;Wofür ist das Value Dashboard?;Kundennutzen und erzielte Wirkung sichtbar machen;MFA ersetzen;Nur API-Kosten zeigen;Nur Backups verwalten;A;Value Dashboard hilft, den Wert der Betreuung zu zeigen.
52;Reports, Media & Dokumente;fortgeschritten;Warum sind Signed URLs für PDF-Downloads sinnvoll?;Zeitlich begrenzter Zugriff auf geschützte Dateien;Öffentliche Indexierung;Passwortloser Adminzugriff;Google-Ranking-Garantie;A;Signed URLs schützen Dokumente und ermöglichen kontrollierte Downloads.
53;Finanzen & Abrechnung;basis;Wofür ist E-Rechnung gedacht?;XRechnung/ZUGFeRD für B2B-Abrechnung vorbereiten;Google Ranking erhöhen;Loyalty-Punkte buchen;Sentry-DSN erstellen;A;E-Rechnung unterstützt korrekte digitale Abrechnung.
54;Finanzen & Abrechnung;basis;Wofür ist Buchhaltungs-Export?;Daten für DATEV/lexoffice/sevDesk strukturiert ausgeben;Social Posts erstellen;MFA aktivieren;Google Fotos laden;A;Export erleichtert Buchhaltung und Steuerprozesse.
55;Finanzen & Abrechnung;basis;Wofür ist Kassen-Anbindung/POS gedacht?;Transaktionen/Kassendaten in Prozesse oder Auswertungen einbeziehen;Verträge signieren;Cookies verwalten;Backups löschen;A;POS-Daten können Umsatz- und Kundenbindungslogik stärken.
56;Finanzen & Abrechnung;basis;Wofür sind Mahnstufen?;Überfällige Zahlungen strukturiert verfolgen und erinnern;Bewertungen generieren;Google API drosseln;Kundenportale anonymisieren;A;Mahnstufen sichern Zahlungsprozesse.
57;Finanzen & Abrechnung;fortgeschritten;Wofür ist Umsatz-Prognose?;Künftige Umsätze, Risiken und Paketpotenziale abschätzen;MFA deaktivieren;Reports löschen;Google Rezensionen sortieren;A;Forecast unterstützt Planung und Upsell.
58;Finanzen & Abrechnung;fortgeschritten;Wofür ist Smart Pricing?;Preise/Empfehlungen datenbasiert nach Bedarf, Paket und Nutzung einschätzen;Alle Preise zufällig ändern;Datenschutz ersetzen;CRM löschen;A;Smart Pricing hilft bei fairer, wertorientierter Preisfindung.
59;Betrieb, Health & Qualität;basis;Wofür ist das Health-Cockpit?;System- und Kundenstatus übergreifend überwachen;Google-Reviews löschen;Rechnungen signieren;Social Posts schreiben;A;Health-Cockpit zeigt, wo etwas Aufmerksamkeit braucht.
